acc_id,name,salary,dept_id
100,abc,85568,development
101,bcd,85568,development
102,cde,85568,development
103,def,85568,development
104,efg,85568,development
105,fgh,85568,development
106,ghi,85568,development
107,hij,85568,development
108,ijk,85568,development
109,jkl,85568,development
110,klm,85568,development
111,abc,85568,development
112,bcd,85568,development
113,cde,85568,development
114,def,85568,development
115,efg,85568,development
116,fgh,85568,development
117,ghi,85568,development
118,hij,85568,development
119,ijk,85568,development
120,jkl,85568,development
